ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2022NOVGEN	3575	7707 - 44 Vasquez Ave		Garage	44 Vasquez Ave	Btw Balceta Ave & Laguna Honda	5.8% Slope	7707   	Pct 7707	7707   		15  
2022NOVGEN	3577	1134 - 250 Athens St		Garage	250 Athens St	Btw Avalon & Excelsior	5.0% Slope	1134   	Pct 1134	1134   		3  
2022NOVGEN	3581	9507 - 1555 Hayes St		Mercy Terrace - Rec Room	1555 Hayes St	Btw Baker & Lyon	6.2% Slope	9507   	Pct 9507	9507   		25  
2022NOVGEN	3591	1149 - 8 Chicago Way		Garage	8 Chicago Way	Btw Lapham Way & End Of Cul de Sac	2.8% Slope	1149   	Pct 1149	1149   		3  
2022NOVGEN	3603	9415 - 1690 21st Ave		Sunset Bible Assembly Of God	1690 21st Ave	Btw Lawton & Moraga	0.6% Slope	9415   	Pct 9415	9415   		24  
2022NOVGEN	3604	9103 - 90 25th Ave		Garage	90 25th Ave	Btw El Camino Del Mar & Scenic	4.1% Slope	9103   	Pct 9103	9103   		19  
2022NOVGEN	3605	7906 - 1798 Bryant St		Mc Calls Catering & Events - Lobby	1798 Bryant St	Btw 16th & 17th Sts	6.9% Slope	7906   	Pct 7906	7906   		17  
2022NOVGEN	3608	9107 - 142 20th Ave		Garage	142 20th Ave	Btw Lake & California	4.9% Slope	9107   	Pct 9107	9107   		19  
2022NOVGEN	3612	7933 - 267 Anderson St		Garage	267 Anderson St	Btw Cortland & Eugenia	1.5% Slope	7933   	Pct 7933	7933   		17  
2022NOVGEN	3619	7621 - 290 Channel St		Mission Creek Park Pavilion	290 Channel St	Btw El Dorado N & 4th St	3.1% Slope	7621   	Pct 7621	7621   		12  
2022NOVGEN	3624	9725 - 55 Borica St		Garage	55 Borica St	Btw Holloway & Urbano	3.8% Slope	9725   	Pct 9725	9725   		27  
2022NOVGEN	3626	9209 - 2248 Francisco St		Garage	2248 Francisco St	Btw Scott & Divisadero	3.2% Slope	9209   	Pct 9209	9209   		21  
2022NOVGEN	3628	9218 - 2151 Green St		Garage	2151 Green St	Btw Fillmore & Webster	4.4% Slope	9218   	Pct 9218	9218   		21  
2022NOVGEN	3629	9125 - 479 23rd Ave		Garage	479 23rd Ave	Btw Geary & Anza	2.3% Slope	9125   	Pct 9125	9125   		19  
2022NOVGEN	3639	9402 - 1279 41st Ave		Garage	1279 41st Ave	Btw Irving & Lincoln	6.5% Slope	9402   	Pct 9402	9402   		24  
2022NOVGEN	3641	9115 - 4620 California St		St James Episcopal Church - Parish Hall	4620 California St	Btw 8th & 9th Ave	6.8% Slope	9115   	Pct 9115	9115   		19  
2022NOVGEN	3643	7912 - 701 Alabama St		Mission Language And Vocational School	701 Alabama St	Btw 19th & 20th St	1.7% Slope	7912   	Pct 7912	7912   		17  
2022NOVGEN	3651	7926 - 3125 Cesar Chavez St		Leonard Flynn School - Cafeteria	3125 Cesar Chavez St	Enter On Harrison Btw Precita & Cesar Chavez	8.3% Slope Ramped Access	7926   	Pct 7926	7926   		17  
2022NOVGEN	3654	1129 - 293 Cayuga Ave		Garage	293 Cayuga Ave	Btw Tingley & Gorham	5.0% slope	1129   	Pct 1129	1129   		2  
2022NOVGEN	3657	7907 - 3590 19th St		Apartamentos De La Esperanza - Garage	3590 19th St	Enter Off Guerrero Btw 18th & 19th Sts	8.3% Slope	7907   	Pct 7907	7907   		17  
2022NOVGEN	3658	1122 - 55 Mount Vernon Ave		Garage	55 Mount Vernon Ave	Btw Ellington & Del Monte	8.2% Slope	1122   	Pct 1122	1122   		2  
2022NOVGEN	3659	7641 - 333 Harrison St		Rincon Green Apartments - Lobby	333 Harrison St	Btw Beale & Fremont	4.5% Slope	7641   	Pct 7641	7641   		12  
2022NOVGEN	3661	1124 - 2301 San Jose Ave		Geneva Car Barn & Powerhouse - Lobby	2301 San Jose Ave	Btw Geneva & Niagara	2.2% Slope	1124   	Pct 1124	1124   		2  
2022NOVGEN	3662	7843 - 1532 Church St		Garage	1532 Church St	Btw 27th St & Duncan St	8.1% Slope	7843   	Pct 7843	7843   		16  
2022NOVGEN	3669	7624 - 935 Folsom St (loc 7616)		Firehouse #1	935 Folsom St	Btw 5th St & Falmouth	1.3% Slope	7624   	Pct 7624	7624   		12  
2022NOVGEN	3670	9731 - 3931 Alemany Blvd		Ocean View Shopping Center - Suite 1003	3931 Alemany Blvd	Btw Worcester & St Charles	8.3% Slope - Curb Ramp Access	9731   	Pct 9731	9731   		29  
2022NOVGEN	3678	7919 - 2989 Mission St.		Endgames Improv - Storefront	2989 Mission St	Btw 25th & 26th Sts	8.3% Slope	7919   	Pct 7919	7919   		17  
2022NOVGEN	3687	7913 - 1125 Valencia St		CCSF - Mission Campus - Main Lobby	1125 Valencia St	Btw 22nd & 23rd Sts	5% Slope	7913   	Pct 7913	7913   		17  
2022NOVGEN	3688	7714 - 111 Robinhood Dr		Garage	111 Robinhood Dr	Btw Landsdale Ave & Landsdale Ave	4.6% Slope	7714   	Pct 7714	7714   		15  
2022NOVGEN	3689	7516 - 500 Hayes St		La Boulangerie	500 Hayes St	Btw Octavia & Laguna	1.4% Slope	7516   	Pct 7516	7516   		10  
2022NOVGEN	3694	9414 - 2226 Kirkham St		Garage	2226 Kirkham St	Btw 26th & 27th Ave	2.3% Slope	9414   	Pct 9414	9414   		24  
2022NOVGEN	3707	7927 - 151 Peralta Ave		Garage	151 Peralta Ave	Btw York & Florida St	2.2% Slope	7927   	Pct 7927	7927   		17  
2022NOVGEN	3710	7719 - 295 Valdez Ave		Garage	295 Valdez Ave	Btw Mangels Ave & Monterey Blvd	7.8% Slope	7719   	Pct 7719	7719   		15  
2022NOVGEN	3712	7643 - 301 Main St		The Infinity	301 Main St	Btw Folsom & Harrison St	4.5% Slope	7643   	Pct 7643	7643   		12  
2022NOVGEN	3718	9443 - 2700 45th Ave		United Irish Cultural Center	2700 45th Ave	Btw Sloat & Wawona	0.8% Slope	9443   	Pct 9443	9443   		24  
2022NOVGEN	3724	7322 - 1362 Sacramento St		Garage	1362 Sacramento St	Btw Jones & Leavenworth	4.3% Slope	7322   	Pct 7322	7322   		8  
2022NOVGEN	3726	1126 - 37 Rudden Ave		Garage	37 Rudden Ave	Btw Otsego & Delano	4.4% Slope	1126   	Pct 1126	1126   		2  
2022NOVGEN	3735	7631 - 151 3rd St		Museum Of Modern Art - Atrium	151 3rd St	Btw Minna & Natoma	0.8% Slope	7631   	Pct 7631	7631   		12  
2022NOVGEN	3739	7804 - 2286 15th St		Garage	2286 15th St	Btw Castro & Noe	1.9% Slope	7804   	Pct 7804	7804   		16  
2022NOVGEN	3740	7833 - 368 Jersey St		Garage	368 Jersey St	Btw Castro & Noe	3.5% Slope	7833   	Pct 7833	7833   		16  
2022NOVGEN	3743	7845 - 181 27th St		Garage	181 27th St	Btw Dolores & Guerrero	4.4% Slope	7845   	Pct 7845	7845   		16  
2022NOVGEN	3751	9145 - 2975 Turk St		Koret Center - Gymnasium	2975 Turk Blvd	Enter At Turk & Stanyan	5.6% Slope	9145   	Pct 9145	9145   		19  
2022NOVGEN	3755	9428 - 2142 47th Ave		Garage	2142 47th Ave	Btw Quintara & Riviera St	4.3% Slope	9428   	Pct 9428	9428   		24  
2022NOVGEN	3756	9432 - 2275 32nd Ave		Garage	2275 32nd Ave	Btw Santiago & Taraval	6.7% Slope	9432   	Pct 9432	9432   		24  
2022NOVGEN	3770	7812 - 48 Pond St		Garage	48 Pond St	Btw Jose Sarria CT & 17th St	2.0% Slope	7812   	Pct 7812	7812   		16  
2022NOVGEN	3772	9724 - 200 Denslowe Dr		Garage	200 Denslowe Dr	Enter On Holloway Btw Denslowe & 19th Ave	6.4% Slope	9724   	Pct 9724	9724   		27  
2022NOVGEN	3773	9715 - 2007 15th Ave		Garage	2007 15th Ave	Btw Pacheco & Quintara	7.0% Slope	9715   	Pct 9715	9715   		27  
2022NOVGEN	3774	7506 - 1449 Webster St		Success Centers San Francisco - Lobby	1449 Webster St	Enter Off Fillmore Btw Geary & O' Farrell	1.3% Slope	7506   	Pct 7506	7506   		10  
2022NOVGEN	3775	7837 - 455 Fair Oaks St		Holy Innocents' Episcopal Church - Sanctuary	455 Fair Oaks St	Btw 25th & 26th Sts	8.0% Slope - Ramped Access	7837   	Pct 7837	7837   		16  
2022NOVGEN	3777	1144 - 99 Pope St		Garage	99 Pope St	Btw Hollywood & Cross	1.8% Slope	1144   	Pct 1144	1144   		3  
2022NOVGEN	3784	9126 - 487 19th Ave		Garage	487 19th Ave	Btw Geary & Anza	5.0% Slope	9126   	Pct 9126	9126   		19  
2022NOVGEN	3786	1115 - 25 Lessing St		Garage	25 Lessing St	Btw Liebig & Cul de Sac	1.6% Slope	1115   	Pct 1115	1115   		2  
2022NOVGEN	3788	1112 - 114 Lee Ave		Garage	114 Lee Ave	Btw Grafton & Holloway	3.3% Slope	1112   	Pct 1112	1112   		2  
2022NOVGEN	3791	7002 - 75 Arkansas St		California College For The Arts - Blattner Hall M. P. Room	75 Arkansas St	Btw 16th & 17th Sts	8.2% Slope - Ramped Entrance	7002   	Pct 7002	7002   		4  
2022NOVGEN	3792	7808 - 139 Corbett Ave		Garage	139 Corbett Ave	Btw Hattie & Danvers	5.1% Slope	7808   	Pct 7808	7808   		16  
2022NOVGEN	3794	9418 - 1750 36th Ave		Garage	1750 36th Ave	Btw Moraga & Noriega	4.9% slope	9418   	Pct 9418	9418   		24  
2022NOVGEN	3798	9441 - 1722 Taraval St		Rolling Out Cafe	1722 Taraval St	Btw 27th & 28th Aves	6.0% Slope	9441   	Pct 9441	9441   		24  
2022NOVGEN	3804	9806 - 1051 Ashbury St		Garage	1051 Ashbury St	Btw Downey & Clayton	0.4% Slope	9806   	Pct 9806	9806   		30  
