ELECTIONABBR	CONTESTID	CONTESTABBR1	CONTESTABBR2	BALLOTTYPE	ROTATION
2022NOVGEN	103	Affordable Housing - Initiative Petition		11	
2022NOVGEN	103	Affordable Housing - Initiative Petition		12	
2022NOVGEN	103	Affordable Housing - Initiative Petition		13	
2022NOVGEN	103	Affordable Housing - Initiative Petition		14	
2022NOVGEN	103	Affordable Housing - Initiative Petition		15	
2022NOVGEN	103	Affordable Housing - Initiative Petition		16	
2022NOVGEN	103	Affordable Housing - Initiative Petition		17	
2022NOVGEN	103	Affordable Housing - Initiative Petition		18	
2022NOVGEN	103	Affordable Housing - Initiative Petition		19	
2022NOVGEN	103	Affordable Housing - Initiative Petition		20	
2022NOVGEN	103	Affordable Housing - Initiative Petition		21	
2022NOVGEN	103	Affordable Housing - Initiative Petition		22	
2022NOVGEN	103	Affordable Housing - Initiative Petition		23	
2022NOVGEN	103	Affordable Housing - Initiative Petition		24	
2022NOVGEN	103	Affordable Housing - Initiative Petition		25	
2022NOVGEN	103	Affordable Housing - Initiative Petition		26	
2022NOVGEN	103	Affordable Housing - Initiative Petition		27	
2022NOVGEN	103	Affordable Housing - Initiative Petition		28	
2022NOVGEN	103	Affordable Housing - Initiative Petition		29	
2022NOVGEN	103	Affordable Housing - Initiative Petition		30	
2022NOVGEN	103	Affordable Housing - Initiative Petition		31	
2022NOVGEN	103	Affordable Housing - Initiative Petition		32	
2022NOVGEN	103	Affordable Housing - Initiative Petition		33	
2022NOVGEN	103	Affordable Housing - Initiative Petition		34	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		1	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		2	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		3	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		4	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		5	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		6	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		7	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		8	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		9	
2022NOVGEN	104	Affordable Housing - Board Of Supervisors		10	
